# query|compound|entity
2C-E Substance use disorder clinical trial|2C-E|Substance use disorder
2C-E Substance use disorder randomized placebo|2C-E|Substance use disorder
2C-E Substance use disorder treatment outcome|2C-E|Substance use disorder
2C-E Generalized anxiety disorder clinical trial|2C-E|Generalized anxiety disorder
2C-E Generalized anxiety disorder randomized placebo|2C-E|Generalized anxiety disorder
2C-E Generalized anxiety disorder treatment outcome|2C-E|Generalized anxiety disorder
2C-E Social anxiety disorder clinical trial|2C-E|Social anxiety disorder
2C-E Social anxiety disorder randomized placebo|2C-E|Social anxiety disorder
2C-E Social anxiety disorder treatment outcome|2C-E|Social anxiety disorder
2C-E Distress associated with life-threatening disease clinical trial|2C-E|Distress associated with life-threatening disease
2C-E Distress associated with life-threatening disease randomized placebo|2C-E|Distress associated with life-threatening disease
2C-E Distress associated with life-threatening disease treatment outcome|2C-E|Distress associated with life-threatening disease
2C-E Obsessive-compulsive disorder clinical trial|2C-E|Obsessive-compulsive disorder
2C-E Obsessive-compulsive disorder randomized placebo|2C-E|Obsessive-compulsive disorder
2C-E Obsessive-compulsive disorder treatment outcome|2C-E|Obsessive-compulsive disorder
2C-E Eating disorders clinical trial|2C-E|Eating disorders
2C-E Eating disorders randomized placebo|2C-E|Eating disorders
2C-E Eating disorders treatment outcome|2C-E|Eating disorders
2C-E Anorexia nervosa clinical trial|2C-E|Anorexia nervosa
2C-E Anorexia nervosa randomized placebo|2C-E|Anorexia nervosa
2C-E Anorexia nervosa treatment outcome|2C-E|Anorexia nervosa
2C-E Bulimia nervosa clinical trial|2C-E|Bulimia nervosa
2C-E Bulimia nervosa randomized placebo|2C-E|Bulimia nervosa
2C-E Bulimia nervosa treatment outcome|2C-E|Bulimia nervosa
2C-E Binge-eating disorder clinical trial|2C-E|Binge-eating disorder
2C-E Binge-eating disorder randomized placebo|2C-E|Binge-eating disorder
2C-E Binge-eating disorder treatment outcome|2C-E|Binge-eating disorder
2C-E Autism spectrum disorder clinical trial|2C-E|Autism spectrum disorder
2C-E Autism spectrum disorder randomized placebo|2C-E|Autism spectrum disorder
2C-E Autism spectrum disorder treatment outcome|2C-E|Autism spectrum disorder
2C-E Demoralization clinical trial|2C-E|Demoralization
2C-E Demoralization randomized placebo|2C-E|Demoralization
2C-E Demoralization treatment outcome|2C-E|Demoralization
2C-E Suicidal ideation clinical trial|2C-E|Suicidal ideation
2C-E Suicidal ideation randomized placebo|2C-E|Suicidal ideation
2C-E Suicidal ideation treatment outcome|2C-E|Suicidal ideation
2C-E Cluster headache clinical trial|2C-E|Cluster headache
2C-E Cluster headache randomized placebo|2C-E|Cluster headache
2C-E Cluster headache treatment outcome|2C-E|Cluster headache
2C-E Headache disorders clinical trial|2C-E|Headache disorders
2C-E Headache disorders randomized placebo|2C-E|Headache disorders
2C-E Headache disorders treatment outcome|2C-E|Headache disorders
2C-E Migraine clinical trial|2C-E|Migraine
2C-E Migraine randomized placebo|2C-E|Migraine
2C-E Migraine treatment outcome|2C-E|Migraine
2C-E Chronic pain clinical trial|2C-E|Chronic pain
2C-E Chronic pain randomized placebo|2C-E|Chronic pain
2C-E Chronic pain treatment outcome|2C-E|Chronic pain
2C-E Fibromyalgia clinical trial|2C-E|Fibromyalgia
2C-E Fibromyalgia randomized placebo|2C-E|Fibromyalgia
2C-E Fibromyalgia treatment outcome|2C-E|Fibromyalgia
2C-I Treatment-resistant depression clinical trial|2C-I|Treatment-resistant depression
2C-I Treatment-resistant depression randomized placebo|2C-I|Treatment-resistant depression
2C-I Treatment-resistant depression treatment outcome|2C-I|Treatment-resistant depression
2C-I Major depressive disorder clinical trial|2C-I|Major depressive disorder
2C-I Major depressive disorder randomized placebo|2C-I|Major depressive disorder
2C-I Major depressive disorder treatment outcome|2C-I|Major depressive disorder
2C-I Bipolar depression clinical trial|2C-I|Bipolar depression
2C-I Bipolar depression randomized placebo|2C-I|Bipolar depression
2C-I Bipolar depression treatment outcome|2C-I|Bipolar depression
2C-I Persistent depressive disorder clinical trial|2C-I|Persistent depressive disorder
2C-I Persistent depressive disorder randomized placebo|2C-I|Persistent depressive disorder
2C-I Persistent depressive disorder treatment outcome|2C-I|Persistent depressive disorder
2C-I Post-traumatic stress disorder clinical trial|2C-I|Post-traumatic stress disorder
2C-I Post-traumatic stress disorder randomized placebo|2C-I|Post-traumatic stress disorder
2C-I Post-traumatic stress disorder treatment outcome|2C-I|Post-traumatic stress disorder
2C-I Complex post-traumatic stress disorder clinical trial|2C-I|Complex post-traumatic stress disorder
2C-I Complex post-traumatic stress disorder randomized placebo|2C-I|Complex post-traumatic stress disorder
2C-I Complex post-traumatic stress disorder treatment outcome|2C-I|Complex post-traumatic stress disorder
2C-I Alcohol use disorder clinical trial|2C-I|Alcohol use disorder
2C-I Alcohol use disorder randomized placebo|2C-I|Alcohol use disorder
2C-I Alcohol use disorder treatment outcome|2C-I|Alcohol use disorder
2C-I Tobacco use disorder clinical trial|2C-I|Tobacco use disorder
2C-I Tobacco use disorder randomized placebo|2C-I|Tobacco use disorder
2C-I Tobacco use disorder treatment outcome|2C-I|Tobacco use disorder
2C-I Nicotine dependence clinical trial|2C-I|Nicotine dependence
2C-I Nicotine dependence randomized placebo|2C-I|Nicotine dependence
2C-I Nicotine dependence treatment outcome|2C-I|Nicotine dependence
2C-I Opioid use disorder clinical trial|2C-I|Opioid use disorder
2C-I Opioid use disorder randomized placebo|2C-I|Opioid use disorder
2C-I Opioid use disorder treatment outcome|2C-I|Opioid use disorder
2C-I Cannabis use disorder clinical trial|2C-I|Cannabis use disorder
2C-I Cannabis use disorder randomized placebo|2C-I|Cannabis use disorder
2C-I Cannabis use disorder treatment outcome|2C-I|Cannabis use disorder
2C-I Cocaine use disorder clinical trial|2C-I|Cocaine use disorder
2C-I Cocaine use disorder randomized placebo|2C-I|Cocaine use disorder
2C-I Cocaine use disorder treatment outcome|2C-I|Cocaine use disorder
2C-I Methamphetamine use disorder clinical trial|2C-I|Methamphetamine use disorder
2C-I Methamphetamine use disorder randomized placebo|2C-I|Methamphetamine use disorder
2C-I Methamphetamine use disorder treatment outcome|2C-I|Methamphetamine use disorder
2C-I Stimulant use disorder clinical trial|2C-I|Stimulant use disorder
2C-I Stimulant use disorder randomized placebo|2C-I|Stimulant use disorder
2C-I Stimulant use disorder treatment outcome|2C-I|Stimulant use disorder
2C-I Substance use disorder clinical trial|2C-I|Substance use disorder
2C-I Substance use disorder randomized placebo|2C-I|Substance use disorder
2C-I Substance use disorder treatment outcome|2C-I|Substance use disorder
2C-I Generalized anxiety disorder clinical trial|2C-I|Generalized anxiety disorder
2C-I Generalized anxiety disorder randomized placebo|2C-I|Generalized anxiety disorder
2C-I Generalized anxiety disorder treatment outcome|2C-I|Generalized anxiety disorder
2C-I Social anxiety disorder clinical trial|2C-I|Social anxiety disorder
2C-I Social anxiety disorder randomized placebo|2C-I|Social anxiety disorder
2C-I Social anxiety disorder treatment outcome|2C-I|Social anxiety disorder
2C-I Distress associated with life-threatening disease clinical trial|2C-I|Distress associated with life-threatening disease
2C-I Distress associated with life-threatening disease randomized placebo|2C-I|Distress associated with life-threatening disease
2C-I Distress associated with life-threatening disease treatment outcome|2C-I|Distress associated with life-threatening disease
2C-I Obsessive-compulsive disorder clinical trial|2C-I|Obsessive-compulsive disorder
2C-I Obsessive-compulsive disorder randomized placebo|2C-I|Obsessive-compulsive disorder
2C-I Obsessive-compulsive disorder treatment outcome|2C-I|Obsessive-compulsive disorder
2C-I Eating disorders clinical trial|2C-I|Eating disorders
2C-I Eating disorders randomized placebo|2C-I|Eating disorders
2C-I Eating disorders treatment outcome|2C-I|Eating disorders
2C-I Anorexia nervosa clinical trial|2C-I|Anorexia nervosa
2C-I Anorexia nervosa randomized placebo|2C-I|Anorexia nervosa
2C-I Anorexia nervosa treatment outcome|2C-I|Anorexia nervosa
2C-I Bulimia nervosa clinical trial|2C-I|Bulimia nervosa
2C-I Bulimia nervosa randomized placebo|2C-I|Bulimia nervosa
2C-I Bulimia nervosa treatment outcome|2C-I|Bulimia nervosa
2C-I Binge-eating disorder clinical trial|2C-I|Binge-eating disorder
2C-I Binge-eating disorder randomized placebo|2C-I|Binge-eating disorder
2C-I Binge-eating disorder treatment outcome|2C-I|Binge-eating disorder
2C-I Autism spectrum disorder clinical trial|2C-I|Autism spectrum disorder
2C-I Autism spectrum disorder randomized placebo|2C-I|Autism spectrum disorder
2C-I Autism spectrum disorder treatment outcome|2C-I|Autism spectrum disorder
2C-I Demoralization clinical trial|2C-I|Demoralization
2C-I Demoralization randomized placebo|2C-I|Demoralization
2C-I Demoralization treatment outcome|2C-I|Demoralization
2C-I Suicidal ideation clinical trial|2C-I|Suicidal ideation
2C-I Suicidal ideation randomized placebo|2C-I|Suicidal ideation
2C-I Suicidal ideation treatment outcome|2C-I|Suicidal ideation
2C-I Cluster headache clinical trial|2C-I|Cluster headache
2C-I Cluster headache randomized placebo|2C-I|Cluster headache
2C-I Cluster headache treatment outcome|2C-I|Cluster headache
2C-I Headache disorders clinical trial|2C-I|Headache disorders
2C-I Headache disorders randomized placebo|2C-I|Headache disorders
2C-I Headache disorders treatment outcome|2C-I|Headache disorders
2C-I Migraine clinical trial|2C-I|Migraine
2C-I Migraine randomized placebo|2C-I|Migraine
2C-I Migraine treatment outcome|2C-I|Migraine
2C-I Chronic pain clinical trial|2C-I|Chronic pain
2C-I Chronic pain randomized placebo|2C-I|Chronic pain
2C-I Chronic pain treatment outcome|2C-I|Chronic pain
2C-I Fibromyalgia clinical trial|2C-I|Fibromyalgia
2C-I Fibromyalgia randomized placebo|2C-I|Fibromyalgia
2C-I Fibromyalgia treatment outcome|2C-I|Fibromyalgia
2C-T-2 Treatment-resistant depression clinical trial|2C-T-2|Treatment-resistant depression
2C-T-2 Treatment-resistant depression randomized placebo|2C-T-2|Treatment-resistant depression
2C-T-2 Treatment-resistant depression treatment outcome|2C-T-2|Treatment-resistant depression
2C-T-2 Major depressive disorder clinical trial|2C-T-2|Major depressive disorder
2C-T-2 Major depressive disorder randomized placebo|2C-T-2|Major depressive disorder
2C-T-2 Major depressive disorder treatment outcome|2C-T-2|Major depressive disorder
2C-T-2 Bipolar depression clinical trial|2C-T-2|Bipolar depression
2C-T-2 Bipolar depression randomized placebo|2C-T-2|Bipolar depression
2C-T-2 Bipolar depression treatment outcome|2C-T-2|Bipolar depression
2C-T-2 Persistent depressive disorder clinical trial|2C-T-2|Persistent depressive disorder
2C-T-2 Persistent depressive disorder randomized placebo|2C-T-2|Persistent depressive disorder
2C-T-2 Persistent depressive disorder treatment outcome|2C-T-2|Persistent depressive disorder
2C-T-2 Post-traumatic stress disorder clinical trial|2C-T-2|Post-traumatic stress disorder
2C-T-2 Post-traumatic stress disorder randomized placebo|2C-T-2|Post-traumatic stress disorder
2C-T-2 Post-traumatic stress disorder treatment outcome|2C-T-2|Post-traumatic stress disorder
2C-T-2 Complex post-traumatic stress disorder clinical trial|2C-T-2|Complex post-traumatic stress disorder
2C-T-2 Complex post-traumatic stress disorder randomized placebo|2C-T-2|Complex post-traumatic stress disorder
2C-T-2 Complex post-traumatic stress disorder treatment outcome|2C-T-2|Complex post-traumatic stress disorder
2C-T-2 Alcohol use disorder clinical trial|2C-T-2|Alcohol use disorder
2C-T-2 Alcohol use disorder randomized placebo|2C-T-2|Alcohol use disorder
2C-T-2 Alcohol use disorder treatment outcome|2C-T-2|Alcohol use disorder
2C-T-2 Tobacco use disorder clinical trial|2C-T-2|Tobacco use disorder
2C-T-2 Tobacco use disorder randomized placebo|2C-T-2|Tobacco use disorder
2C-T-2 Tobacco use disorder treatment outcome|2C-T-2|Tobacco use disorder
2C-T-2 Nicotine dependence clinical trial|2C-T-2|Nicotine dependence
2C-T-2 Nicotine dependence randomized placebo|2C-T-2|Nicotine dependence
2C-T-2 Nicotine dependence treatment outcome|2C-T-2|Nicotine dependence
2C-T-2 Opioid use disorder clinical trial|2C-T-2|Opioid use disorder
2C-T-2 Opioid use disorder randomized placebo|2C-T-2|Opioid use disorder
2C-T-2 Opioid use disorder treatment outcome|2C-T-2|Opioid use disorder
2C-T-2 Cannabis use disorder clinical trial|2C-T-2|Cannabis use disorder
2C-T-2 Cannabis use disorder randomized placebo|2C-T-2|Cannabis use disorder
2C-T-2 Cannabis use disorder treatment outcome|2C-T-2|Cannabis use disorder
2C-T-2 Cocaine use disorder clinical trial|2C-T-2|Cocaine use disorder
2C-T-2 Cocaine use disorder randomized placebo|2C-T-2|Cocaine use disorder
2C-T-2 Cocaine use disorder treatment outcome|2C-T-2|Cocaine use disorder
2C-T-2 Methamphetamine use disorder clinical trial|2C-T-2|Methamphetamine use disorder
2C-T-2 Methamphetamine use disorder randomized placebo|2C-T-2|Methamphetamine use disorder
2C-T-2 Methamphetamine use disorder treatment outcome|2C-T-2|Methamphetamine use disorder
2C-T-2 Stimulant use disorder clinical trial|2C-T-2|Stimulant use disorder
2C-T-2 Stimulant use disorder randomized placebo|2C-T-2|Stimulant use disorder
2C-T-2 Stimulant use disorder treatment outcome|2C-T-2|Stimulant use disorder
2C-T-2 Substance use disorder clinical trial|2C-T-2|Substance use disorder
2C-T-2 Substance use disorder randomized placebo|2C-T-2|Substance use disorder
2C-T-2 Substance use disorder treatment outcome|2C-T-2|Substance use disorder
2C-T-2 Generalized anxiety disorder clinical trial|2C-T-2|Generalized anxiety disorder
2C-T-2 Generalized anxiety disorder randomized placebo|2C-T-2|Generalized anxiety disorder
2C-T-2 Generalized anxiety disorder treatment outcome|2C-T-2|Generalized anxiety disorder
2C-T-2 Social anxiety disorder clinical trial|2C-T-2|Social anxiety disorder
2C-T-2 Social anxiety disorder randomized placebo|2C-T-2|Social anxiety disorder
2C-T-2 Social anxiety disorder treatment outcome|2C-T-2|Social anxiety disorder
2C-T-2 Distress associated with life-threatening disease clinical trial|2C-T-2|Distress associated with life-threatening disease
2C-T-2 Distress associated with life-threatening disease randomized placebo|2C-T-2|Distress associated with life-threatening disease
2C-T-2 Distress associated with life-threatening disease treatment outcome|2C-T-2|Distress associated with life-threatening disease
2C-T-2 Obsessive-compulsive disorder clinical trial|2C-T-2|Obsessive-compulsive disorder
2C-T-2 Obsessive-compulsive disorder randomized placebo|2C-T-2|Obsessive-compulsive disorder
2C-T-2 Obsessive-compulsive disorder treatment outcome|2C-T-2|Obsessive-compulsive disorder
2C-T-2 Eating disorders clinical trial|2C-T-2|Eating disorders
2C-T-2 Eating disorders randomized placebo|2C-T-2|Eating disorders
2C-T-2 Eating disorders treatment outcome|2C-T-2|Eating disorders
2C-T-2 Anorexia nervosa clinical trial|2C-T-2|Anorexia nervosa
2C-T-2 Anorexia nervosa randomized placebo|2C-T-2|Anorexia nervosa
2C-T-2 Anorexia nervosa treatment outcome|2C-T-2|Anorexia nervosa
2C-T-2 Bulimia nervosa clinical trial|2C-T-2|Bulimia nervosa
2C-T-2 Bulimia nervosa randomized placebo|2C-T-2|Bulimia nervosa
2C-T-2 Bulimia nervosa treatment outcome|2C-T-2|Bulimia nervosa
2C-T-2 Binge-eating disorder clinical trial|2C-T-2|Binge-eating disorder
2C-T-2 Binge-eating disorder randomized placebo|2C-T-2|Binge-eating disorder
2C-T-2 Binge-eating disorder treatment outcome|2C-T-2|Binge-eating disorder
2C-T-2 Autism spectrum disorder clinical trial|2C-T-2|Autism spectrum disorder
2C-T-2 Autism spectrum disorder randomized placebo|2C-T-2|Autism spectrum disorder
2C-T-2 Autism spectrum disorder treatment outcome|2C-T-2|Autism spectrum disorder
2C-T-2 Demoralization clinical trial|2C-T-2|Demoralization
2C-T-2 Demoralization randomized placebo|2C-T-2|Demoralization
2C-T-2 Demoralization treatment outcome|2C-T-2|Demoralization
2C-T-2 Suicidal ideation clinical trial|2C-T-2|Suicidal ideation
2C-T-2 Suicidal ideation randomized placebo|2C-T-2|Suicidal ideation
2C-T-2 Suicidal ideation treatment outcome|2C-T-2|Suicidal ideation
2C-T-2 Cluster headache clinical trial|2C-T-2|Cluster headache
2C-T-2 Cluster headache randomized placebo|2C-T-2|Cluster headache
2C-T-2 Cluster headache treatment outcome|2C-T-2|Cluster headache
2C-T-2 Headache disorders clinical trial|2C-T-2|Headache disorders
2C-T-2 Headache disorders randomized placebo|2C-T-2|Headache disorders
2C-T-2 Headache disorders treatment outcome|2C-T-2|Headache disorders
2C-T-2 Migraine clinical trial|2C-T-2|Migraine
2C-T-2 Migraine randomized placebo|2C-T-2|Migraine
2C-T-2 Migraine treatment outcome|2C-T-2|Migraine
2C-T-2 Chronic pain clinical trial|2C-T-2|Chronic pain
2C-T-2 Chronic pain randomized placebo|2C-T-2|Chronic pain
2C-T-2 Chronic pain treatment outcome|2C-T-2|Chronic pain
2C-T-2 Fibromyalgia clinical trial|2C-T-2|Fibromyalgia
2C-T-2 Fibromyalgia randomized placebo|2C-T-2|Fibromyalgia
2C-T-2 Fibromyalgia treatment outcome|2C-T-2|Fibromyalgia
2C-T-7 Treatment-resistant depression clinical trial|2C-T-7|Treatment-resistant depression
2C-T-7 Treatment-resistant depression randomized placebo|2C-T-7|Treatment-resistant depression
2C-T-7 Treatment-resistant depression treatment outcome|2C-T-7|Treatment-resistant depression
2C-T-7 Major depressive disorder clinical trial|2C-T-7|Major depressive disorder
2C-T-7 Major depressive disorder randomized placebo|2C-T-7|Major depressive disorder
2C-T-7 Major depressive disorder treatment outcome|2C-T-7|Major depressive disorder
2C-T-7 Bipolar depression clinical trial|2C-T-7|Bipolar depression
2C-T-7 Bipolar depression randomized placebo|2C-T-7|Bipolar depression
2C-T-7 Bipolar depression treatment outcome|2C-T-7|Bipolar depression
2C-T-7 Persistent depressive disorder clinical trial|2C-T-7|Persistent depressive disorder
2C-T-7 Persistent depressive disorder randomized placebo|2C-T-7|Persistent depressive disorder
2C-T-7 Persistent depressive disorder treatment outcome|2C-T-7|Persistent depressive disorder
2C-T-7 Post-traumatic stress disorder clinical trial|2C-T-7|Post-traumatic stress disorder
2C-T-7 Post-traumatic stress disorder randomized placebo|2C-T-7|Post-traumatic stress disorder
2C-T-7 Post-traumatic stress disorder treatment outcome|2C-T-7|Post-traumatic stress disorder
2C-T-7 Complex post-traumatic stress disorder clinical trial|2C-T-7|Complex post-traumatic stress disorder
2C-T-7 Complex post-traumatic stress disorder randomized placebo|2C-T-7|Complex post-traumatic stress disorder
2C-T-7 Complex post-traumatic stress disorder treatment outcome|2C-T-7|Complex post-traumatic stress disorder
2C-T-7 Alcohol use disorder clinical trial|2C-T-7|Alcohol use disorder
2C-T-7 Alcohol use disorder randomized placebo|2C-T-7|Alcohol use disorder
2C-T-7 Alcohol use disorder treatment outcome|2C-T-7|Alcohol use disorder
2C-T-7 Tobacco use disorder clinical trial|2C-T-7|Tobacco use disorder
2C-T-7 Tobacco use disorder randomized placebo|2C-T-7|Tobacco use disorder
2C-T-7 Tobacco use disorder treatment outcome|2C-T-7|Tobacco use disorder
2C-T-7 Nicotine dependence clinical trial|2C-T-7|Nicotine dependence
2C-T-7 Nicotine dependence randomized placebo|2C-T-7|Nicotine dependence
2C-T-7 Nicotine dependence treatment outcome|2C-T-7|Nicotine dependence
2C-T-7 Opioid use disorder clinical trial|2C-T-7|Opioid use disorder
2C-T-7 Opioid use disorder randomized placebo|2C-T-7|Opioid use disorder
2C-T-7 Opioid use disorder treatment outcome|2C-T-7|Opioid use disorder
2C-T-7 Cannabis use disorder clinical trial|2C-T-7|Cannabis use disorder
2C-T-7 Cannabis use disorder randomized placebo|2C-T-7|Cannabis use disorder
2C-T-7 Cannabis use disorder treatment outcome|2C-T-7|Cannabis use disorder
2C-T-7 Cocaine use disorder clinical trial|2C-T-7|Cocaine use disorder
2C-T-7 Cocaine use disorder randomized placebo|2C-T-7|Cocaine use disorder
2C-T-7 Cocaine use disorder treatment outcome|2C-T-7|Cocaine use disorder
2C-T-7 Methamphetamine use disorder clinical trial|2C-T-7|Methamphetamine use disorder
2C-T-7 Methamphetamine use disorder randomized placebo|2C-T-7|Methamphetamine use disorder
2C-T-7 Methamphetamine use disorder treatment outcome|2C-T-7|Methamphetamine use disorder
2C-T-7 Stimulant use disorder clinical trial|2C-T-7|Stimulant use disorder
2C-T-7 Stimulant use disorder randomized placebo|2C-T-7|Stimulant use disorder
2C-T-7 Stimulant use disorder treatment outcome|2C-T-7|Stimulant use disorder
2C-T-7 Substance use disorder clinical trial|2C-T-7|Substance use disorder
2C-T-7 Substance use disorder randomized placebo|2C-T-7|Substance use disorder
2C-T-7 Substance use disorder treatment outcome|2C-T-7|Substance use disorder
2C-T-7 Generalized anxiety disorder clinical trial|2C-T-7|Generalized anxiety disorder
2C-T-7 Generalized anxiety disorder randomized placebo|2C-T-7|Generalized anxiety disorder
2C-T-7 Generalized anxiety disorder treatment outcome|2C-T-7|Generalized anxiety disorder
2C-T-7 Social anxiety disorder clinical trial|2C-T-7|Social anxiety disorder
2C-T-7 Social anxiety disorder randomized placebo|2C-T-7|Social anxiety disorder
2C-T-7 Social anxiety disorder treatment outcome|2C-T-7|Social anxiety disorder
2C-T-7 Distress associated with life-threatening disease clinical trial|2C-T-7|Distress associated with life-threatening disease
2C-T-7 Distress associated with life-threatening disease randomized placebo|2C-T-7|Distress associated with life-threatening disease
2C-T-7 Distress associated with life-threatening disease treatment outcome|2C-T-7|Distress associated with life-threatening disease
2C-T-7 Obsessive-compulsive disorder clinical trial|2C-T-7|Obsessive-compulsive disorder
2C-T-7 Obsessive-compulsive disorder randomized placebo|2C-T-7|Obsessive-compulsive disorder
2C-T-7 Obsessive-compulsive disorder treatment outcome|2C-T-7|Obsessive-compulsive disorder
2C-T-7 Eating disorders clinical trial|2C-T-7|Eating disorders
2C-T-7 Eating disorders randomized placebo|2C-T-7|Eating disorders
2C-T-7 Eating disorders treatment outcome|2C-T-7|Eating disorders
2C-T-7 Anorexia nervosa clinical trial|2C-T-7|Anorexia nervosa
2C-T-7 Anorexia nervosa randomized placebo|2C-T-7|Anorexia nervosa
2C-T-7 Anorexia nervosa treatment outcome|2C-T-7|Anorexia nervosa
2C-T-7 Bulimia nervosa clinical trial|2C-T-7|Bulimia nervosa
2C-T-7 Bulimia nervosa randomized placebo|2C-T-7|Bulimia nervosa
2C-T-7 Bulimia nervosa treatment outcome|2C-T-7|Bulimia nervosa
2C-T-7 Binge-eating disorder clinical trial|2C-T-7|Binge-eating disorder
2C-T-7 Binge-eating disorder randomized placebo|2C-T-7|Binge-eating disorder
2C-T-7 Binge-eating disorder treatment outcome|2C-T-7|Binge-eating disorder
2C-T-7 Autism spectrum disorder clinical trial|2C-T-7|Autism spectrum disorder
2C-T-7 Autism spectrum disorder randomized placebo|2C-T-7|Autism spectrum disorder
2C-T-7 Autism spectrum disorder treatment outcome|2C-T-7|Autism spectrum disorder
2C-T-7 Demoralization clinical trial|2C-T-7|Demoralization
2C-T-7 Demoralization randomized placebo|2C-T-7|Demoralization
2C-T-7 Demoralization treatment outcome|2C-T-7|Demoralization
2C-T-7 Suicidal ideation clinical trial|2C-T-7|Suicidal ideation
2C-T-7 Suicidal ideation randomized placebo|2C-T-7|Suicidal ideation
2C-T-7 Suicidal ideation treatment outcome|2C-T-7|Suicidal ideation
2C-T-7 Cluster headache clinical trial|2C-T-7|Cluster headache
2C-T-7 Cluster headache randomized placebo|2C-T-7|Cluster headache
2C-T-7 Cluster headache treatment outcome|2C-T-7|Cluster headache
2C-T-7 Headache disorders clinical trial|2C-T-7|Headache disorders
2C-T-7 Headache disorders randomized placebo|2C-T-7|Headache disorders
2C-T-7 Headache disorders treatment outcome|2C-T-7|Headache disorders
2C-T-7 Migraine clinical trial|2C-T-7|Migraine
2C-T-7 Migraine randomized placebo|2C-T-7|Migraine
2C-T-7 Migraine treatment outcome|2C-T-7|Migraine
2C-T-7 Chronic pain clinical trial|2C-T-7|Chronic pain
2C-T-7 Chronic pain randomized placebo|2C-T-7|Chronic pain
2C-T-7 Chronic pain treatment outcome|2C-T-7|Chronic pain
2C-T-7 Fibromyalgia clinical trial|2C-T-7|Fibromyalgia
2C-T-7 Fibromyalgia randomized placebo|2C-T-7|Fibromyalgia
2C-T-7 Fibromyalgia treatment outcome|2C-T-7|Fibromyalgia
5-MeO-DiPT Treatment-resistant depression clinical trial|5-MeO-DiPT|Treatment-resistant depression
5-MeO-DiPT Treatment-resistant depression randomized placebo|5-MeO-DiPT|Treatment-resistant depression
5-MeO-DiPT Treatment-resistant depression treatment outcome|5-MeO-DiPT|Treatment-resistant depression
5-MeO-DiPT Major depressive disorder clinical trial|5-MeO-DiPT|Major depressive disorder
5-MeO-DiPT Major depressive disorder randomized placebo|5-MeO-DiPT|Major depressive disorder
5-MeO-DiPT Major depressive disorder treatment outcome|5-MeO-DiPT|Major depressive disorder
5-MeO-DiPT Bipolar depression clinical trial|5-MeO-DiPT|Bipolar depression
5-MeO-DiPT Bipolar depression randomized placebo|5-MeO-DiPT|Bipolar depression
5-MeO-DiPT Bipolar depression treatment outcome|5-MeO-DiPT|Bipolar depression
5-MeO-DiPT Persistent depressive disorder clinical trial|5-MeO-DiPT|Persistent depressive disorder
5-MeO-DiPT Persistent depressive disorder randomized placebo|5-MeO-DiPT|Persistent depressive disorder
5-MeO-DiPT Persistent depressive disorder treatment outcome|5-MeO-DiPT|Persistent depressive disorder
5-MeO-DiPT Post-traumatic stress disorder clinical trial|5-MeO-DiPT|Post-traumatic stress disorder
5-MeO-DiPT Post-traumatic stress disorder randomized placebo|5-MeO-DiPT|Post-traumatic stress disorder
5-MeO-DiPT Post-traumatic stress disorder treatment outcome|5-MeO-DiPT|Post-traumatic stress disorder
5-MeO-DiPT Complex post-traumatic stress disorder clinical trial|5-MeO-DiPT|Complex post-traumatic stress disorder
5-MeO-DiPT Complex post-traumatic stress disorder randomized placebo|5-MeO-DiPT|Complex post-traumatic stress disorder
5-MeO-DiPT Complex post-traumatic stress disorder treatment outcome|5-MeO-DiPT|Complex post-traumatic stress disorder
5-MeO-DiPT Alcohol use disorder clinical trial|5-MeO-DiPT|Alcohol use disorder
5-MeO-DiPT Alcohol use disorder randomized placebo|5-MeO-DiPT|Alcohol use disorder
5-MeO-DiPT Alcohol use disorder treatment outcome|5-MeO-DiPT|Alcohol use disorder
5-MeO-DiPT Tobacco use disorder clinical trial|5-MeO-DiPT|Tobacco use disorder
5-MeO-DiPT Tobacco use disorder randomized placebo|5-MeO-DiPT|Tobacco use disorder
5-MeO-DiPT Tobacco use disorder treatment outcome|5-MeO-DiPT|Tobacco use disorder
5-MeO-DiPT Nicotine dependence clinical trial|5-MeO-DiPT|Nicotine dependence
5-MeO-DiPT Nicotine dependence randomized placebo|5-MeO-DiPT|Nicotine dependence
5-MeO-DiPT Nicotine dependence treatment outcome|5-MeO-DiPT|Nicotine dependence
5-MeO-DiPT Opioid use disorder clinical trial|5-MeO-DiPT|Opioid use disorder
5-MeO-DiPT Opioid use disorder randomized placebo|5-MeO-DiPT|Opioid use disorder
5-MeO-DiPT Opioid use disorder treatment outcome|5-MeO-DiPT|Opioid use disorder
5-MeO-DiPT Cannabis use disorder clinical trial|5-MeO-DiPT|Cannabis use disorder
5-MeO-DiPT Cannabis use disorder randomized placebo|5-MeO-DiPT|Cannabis use disorder
5-MeO-DiPT Cannabis use disorder treatment outcome|5-MeO-DiPT|Cannabis use disorder
5-MeO-DiPT Cocaine use disorder clinical trial|5-MeO-DiPT|Cocaine use disorder
5-MeO-DiPT Cocaine use disorder randomized placebo|5-MeO-DiPT|Cocaine use disorder
5-MeO-DiPT Cocaine use disorder treatment outcome|5-MeO-DiPT|Cocaine use disorder
5-MeO-DiPT Methamphetamine use disorder clinical trial|5-MeO-DiPT|Methamphetamine use disorder
5-MeO-DiPT Methamphetamine use disorder randomized placebo|5-MeO-DiPT|Methamphetamine use disorder
