normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,outcome_type,outcome_domain,result_direction,outcome_measure,outcome_measure_normalized,population,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,source_access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,publication_date,journal_issn,journal_eissn,publisher,evidence_level,normalization_dataset,normalization_entity_category,compound_match_type,entity_match_type,compound_match_value,entity_match_value,compound_registry_status,entity_registry_status,compound_ids,entity_ids,entity_candidate_label,entity_candidate_score,language,mesh_terms,keywords,trial_registry_ids,funders,grant_ids,related_dois,publication_relations,has_correction,semantic_scholar_id
compound_class_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,synthetic tryptamine psychedelic (related to psilocin),,postpartum depression (PPD),,,,,,,postpartum depression (PPD),therapeutic_indication,postpartum depression (PPD),indication,True,10.1177/20451253251408280,Psychedelic therapy and postpartum depression: priorities and prospects.,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Thuery G; Crossen F; Mc Loone D; Hinds C; Duffy R; Jairaj C; Harkin A; Kelly JR,2026,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"Recent results from a randomised, double-blind, active dose-controlled clinical trial (n = 84), which has not yet been published, evaluated the safety and efficacy of a single subcutaneous dose of a synthetic tryptamine psychedelic structurally related to psilocin for the treatment of moderate to severe PPD.",secondary_summary,full_text_seen,text,C002,Narrative Review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Therapeutic advances in psychopharmacology,Journal Article | Review,2026-03-09,2045-1253,,,low,disorder,disorders,,,synthetic tryptamine psychedelic (related to psilocin),postpartum depression (PPD),,,{},{},Bipolar depression,0.6977,eng,,5-MeO-DMT | major depression | postpartum depression | psilocybin | psychedelics,,,,,,,
compound_class_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,psychedelic therapy,,major depressive disorder (MDD) and treatment-resistant depression (TRD),,Major depressive disorder,,,,,major depressive disorder (MDD) and treatment-resistant depression (TRD),therapeutic_indication,major depressive disorder (MDD) and treatment-resistant depression (TRD),indication,True,10.1177/20451253251408280,Psychedelic therapy and postpartum depression: priorities and prospects.,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Thuery G; Crossen F; Mc Loone D; Hinds C; Duffy R; Jairaj C; Harkin A; Kelly JR,2026,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.8,False,There is growing evidence supporting the use of psychedelic therapy in MDD and treatmentresistant depression (TRD).,secondary_summary,full_text_seen,text,C002,Narrative Review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=mentions; relationship is discussed in secondary literature, not treated as primary evidence",Therapeutic advances in psychopharmacology,Journal Article | Review,2026-03-09,2045-1253,,,low,disorder,disorders,,alias,psychedelic therapy,major depressive disorder (MDD) and treatment-resistant depression (TRD),,needs_external_id_lookup,{},{},Major depressive disorder,1.0,eng,,5-MeO-DMT | major depression | postpartum depression | psilocybin | psychedelics,,,,,,,
entity_unmapped,graph entity `treatment-resistant PTSD` did not match registry,MDMA,,treatment-resistant PTSD,MDMA,,,,,,treatment-resistant PTSD,therapeutic_indication,treatment-resistant PTSD,indication,True,10.1186/s12991-020-00283-6,MDMA-assisted psychotherapy for people diagnosed with treatment-resistant PTSD: what it is and what it isn’t,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Louise Morgan,2020,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"One novel approach is MDMA-assisted psychotherapy for people diagnosed with treatment-resistant PTSD, where MDMA is used as a catalyst to facilitate trauma processing during psychotherapy. The aim was to review all current research into MDMA-assisted psychotherapy for PTSD.",secondary_summary,full_text_seen,abstract,"Abstract, C001",narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence",Annals of General Psychiatry,journal-article,2020-05-12,1744-859X,,Springer Science and Business Media LLC,low,disorder,disorders,label,,MDMA,treatment-resistant PTSD,needs_external_id_lookup,,{},{},Treatment-resistant depression,0.8148,eng,,MDMA | MDMA-assisted psychotherapy | PTSD | Posttraumatic stress disorder | Treatment-resistant PTSD,,,,,,,
entity_unmapped,graph entity `psychological trauma` did not match registry,MDMA,,psychological trauma,MDMA,,,,,,psychological trauma,therapeutic_indication,psychological trauma,indication,True,10.1186/s12991-020-00283-6,MDMA-assisted psychotherapy for people diagnosed with treatment-resistant PTSD: what it is and what it isn’t,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Louise Morgan,2020,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Small-scale studies have shown reduced psychological trauma,secondary_summary,full_text_seen,abstract,"Abstract, C001",narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=summarizes; relationship is discussed in secondary literature, not treated as primary evidence",Annals of General Psychiatry,journal-article,2020-05-12,1744-859X,,Springer Science and Business Media LLC,low,disorder,disorders,label,,MDMA,psychological trauma,needs_external_id_lookup,,{},{},social phobia,0.4242,eng,,MDMA | MDMA-assisted psychotherapy | PTSD | Posttraumatic stress disorder | Treatment-resistant PTSD,,,,,,,
normalized,compound and graph entity matched local registry,MDMA,,PTSD,MDMA,Post-traumatic stress disorder,,,,,PTSD,therapeutic_indication,PTSD,indication,True,10.1186/s12991-020-00283-6,MDMA-assisted psychotherapy for people diagnosed with treatment-resistant PTSD: what it is and what it isn’t,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Louise Morgan,2020,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,These studies (combined N = 103) showed promising findings in terms of reduced psychological trauma and long-term remission (as assessed up to 6 years later) and with no drug-related serious adverse events and no adverse neurocognitive effects. 53% of participants in the active dose groups (75-125 mg of MDMA) group did not meet PTSD criteria on the Clinician Administered PTSD Scale-4 (CAPS-4) at the primary endpoint compared to 23% in the control groups (0-40 mg of MDMA) [27].,secondary_summary,full_text_seen,text,C005,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=summarizes; relationship is discussed in secondary literature, not treated as primary evidence",Annals of General Psychiatry,journal-article,2020-05-12,1744-859X,,Springer Science and Business Media LLC,low,disorder,disorders,label,alias,MDMA,PTSD,needs_external_id_lookup,needs_external_id_lookup,{},{},Post-traumatic stress disorder,1.0,eng,,MDMA | MDMA-assisted psychotherapy | PTSD | Posttraumatic stress disorder | Treatment-resistant PTSD,,,,,,,
entity_unmapped,graph entity `treatment-resistant PTSD` did not match registry,MDMA,,treatment-resistant PTSD,MDMA,,,,,,treatment-resistant PTSD,therapeutic_indication,treatment-resistant PTSD,indication,True,10.1186/s12991-020-00283-6,MDMA-assisted psychotherapy for people diagnosed with treatment-resistant PTSD: what it is and what it isn’t,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Louise Morgan,2020,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"The phase 3 trials will compare the effects of three experimental sessions of MDMA-assisted psychotherapy versus placebo drug and psychotherapy. The trial aims to recruit up to 300 participants and if the findings are similar to those of the pilot studies, it is anticipated that the US FDA will approve MDMA-assisted psychotherapy as a recognised treatment for people diagnosed with treatment-resistant PTSD by 2021.",secondary_summary,full_text_seen,text,C005,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Annals of General Psychiatry,journal-article,2020-05-12,1744-859X,,Springer Science and Business Media LLC,low,disorder,disorders,label,,MDMA,treatment-resistant PTSD,needs_external_id_lookup,,{},{},Treatment-resistant depression,0.8148,eng,,MDMA | MDMA-assisted psychotherapy | PTSD | Posttraumatic stress disorder | Treatment-resistant PTSD,,,,,,,
entity_unmapped,graph entity `MDMA-assisted psychotherapy` did not match registry,MDMA,,MDMA-assisted psychotherapy,MDMA,,,,,,MDMA-assisted psychotherapy,therapeutic_indication,MDMA-assisted psychotherapy,indication,True,10.1186/s12991-020-00283-6,MDMA-assisted psychotherapy for people diagnosed with treatment-resistant PTSD: what it is and what it isn’t,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Louise Morgan,2020,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"MDMA has not been posited as a 'treatment for PTSD' and MAPS have not studied MDMA as a therapy; these are separate issues that, to date, nobody has researched. There is additional misrepresentation of the role of MDMA in the therapeutic process...",secondary_summary,full_text_seen,text,C007,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Annals of General Psychiatry,journal-article,2020-05-12,1744-859X,,Springer Science and Business Media LLC,low,disorder,disorders,label,,MDMA,MDMA-assisted psychotherapy,needs_external_id_lookup,,{},{},Cannabis use disorder,0.4167,eng,,MDMA | MDMA-assisted psychotherapy | PTSD | Posttraumatic stress disorder | Treatment-resistant PTSD,,,,,,,
normalized,compound and graph entity matched local registry,psilocybin,,eating disorders,Psilocybin,Eating disorders,,,,,eating disorders,therapeutic_indication,eating disorders,indication,True,10.1186/s40337-024-01185-8,Exploring the neurobiological correlates of psilocybin-assisted psychotherapy in eating disorders: a review of potential methodologies and implications for the psychedelic study design.,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Koning E; Chaves C; Kirkpatrick RH; Brietzke E,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,There is emerging evidence for the safety and efficacy of psilocybin-assisted psychotherapy (PAP) to improve treatment outcomes in individuals with EDs.,secondary_summary,full_text_seen,abstract,Abstract,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=discusses; relationship is discussed in secondary literature, not treated as primary evidence",Journal of eating disorders,Journal Article | Review,2024-12-27,2050-2974,,,low,disorder,disorders,label,label,psilocybin,eating disorders,needs_external_id_lookup,needs_external_id_lookup,{},{},Eating disorders,1.0,eng,,Eating disorders | Electrophysiology | Neurobiology | Neuroimaging | Neuroplasticity | Precision psychiatry | Psilocybin | Psilocybin-assisted psychotherapy | Psychedelic research,,,,,,,
normalized,compound and graph entity matched local registry,psilocybin,,anorexia nervosa,Psilocybin,Anorexia nervosa,,,,,anorexia nervosa,therapeutic_indication,anorexia nervosa,indication,True,10.1186/s40337-024-01185-8,Exploring the neurobiological correlates of psilocybin-assisted psychotherapy in eating disorders: a review of potential methodologies and implications for the psychedelic study design.,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Koning E; Chaves C; Kirkpatrick RH; Brietzke E,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,"There is preliminary evidence for a therapeutic effect of PAP in AN and several related conditions, although most evidence comes from cross-sectional studies, case reports, or small clinical trials [12, 21, 22, [25] [26] [27] .",secondary_summary,full_text_seen,text,C002,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=mentions; relationship is discussed in secondary literature, not treated as primary evidence",Journal of eating disorders,Journal Article | Review,2024-12-27,2050-2974,,,low,disorder,disorders,label,label,psilocybin,anorexia nervosa,needs_external_id_lookup,needs_external_id_lookup,{},{},Anorexia nervosa,1.0,eng,,Eating disorders | Electrophysiology | Neurobiology | Neuroimaging | Neuroplasticity | Precision psychiatry | Psilocybin | Psilocybin-assisted psychotherapy | Psychedelic research,,,,,,,
normalized,compound and graph entity matched local registry,psilocybin,,depression,Psilocybin,Depression,,,,,depression,therapeutic_indication,depression,indication,True,10.1186/s40337-024-01185-8,Exploring the neurobiological correlates of psilocybin-assisted psychotherapy in eating disorders: a review of potential methodologies and implications for the psychedelic study design.,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Koning E; Chaves C; Kirkpatrick RH; Brietzke E,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.8,False,"The incorporation of psilocybin may enhance the therapeutic mechanisms of standard psychotherapy, evidenced by several highquality systematic reviews and meta-analyses suggesting efficacy and safety of PAP for symptoms of depression, substance use disorders, obsessive-compulsive disorder, and mood disorders [20] [21] [22] [23] [24] .",secondary_summary,full_text_seen,text,C002,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=mentions; relationship is discussed in secondary literature, not treated as primary evidence",Journal of eating disorders,Journal Article | Review,2024-12-27,2050-2974,,,low,disorder,disorders,label,label,psilocybin,depression,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},Depression,1.0,eng,,Eating disorders | Electrophysiology | Neurobiology | Neuroimaging | Neuroplasticity | Precision psychiatry | Psilocybin | Psilocybin-assisted psychotherapy | Psychedelic research,,,,,,,
normalized,compound and graph entity matched local registry,psilocybin,,substance use disorders,Psilocybin,Substance use disorder,,,,,substance use disorders,therapeutic_indication,substance use disorders,indication,True,10.1186/s40337-024-01185-8,Exploring the neurobiological correlates of psilocybin-assisted psychotherapy in eating disorders: a review of potential methodologies and implications for the psychedelic study design.,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Koning E; Chaves C; Kirkpatrick RH; Brietzke E,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.8,False,"The incorporation of psilocybin may enhance the therapeutic mechanisms of standard psychotherapy, evidenced by several highquality systematic reviews and meta-analyses suggesting efficacy and safety of PAP for symptoms of depression, substance use disorders, obsessive-compulsive disorder, and mood disorders [20] [21] [22] [23] [24] .",secondary_summary,full_text_seen,text,C002,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=mentions; relationship is discussed in secondary literature, not treated as primary evidence",Journal of eating disorders,Journal Article | Review,2024-12-27,2050-2974,,,low,disorder,disorders,label,fuzzy_high_confidence,psilocybin,substance use disorders,needs_external_id_lookup,needs_external_id_lookup,{},{},Substance use disorder,0.9778,eng,,Eating disorders | Electrophysiology | Neurobiology | Neuroimaging | Neuroplasticity | Precision psychiatry | Psilocybin | Psilocybin-assisted psychotherapy | Psychedelic research,,,,,,,
normalized,compound and graph entity matched local registry,psilocybin,,obsessive-compulsive disorder,Psilocybin,Obsessive-compulsive disorder,,,,,obsessive-compulsive disorder,therapeutic_indication,obsessive-compulsive disorder,indication,True,10.1186/s40337-024-01185-8,Exploring the neurobiological correlates of psilocybin-assisted psychotherapy in eating disorders: a review of potential methodologies and implications for the psychedelic study design.,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Koning E; Chaves C; Kirkpatrick RH; Brietzke E,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.8,False,"The incorporation of psilocybin may enhance the therapeutic mechanisms of standard psychotherapy, evidenced by several highquality systematic reviews and meta-analyses suggesting efficacy and safety of PAP for symptoms of depression, substance use disorders, obsessive-compulsive disorder, and mood disorders [20] [21] [22] [23] [24] .",secondary_summary,full_text_seen,text,C002,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=mentions; relationship is discussed in secondary literature, not treated as primary evidence",Journal of eating disorders,Journal Article | Review,2024-12-27,2050-2974,,,low,disorder,disorders,label,label,psilocybin,obsessive-compulsive disorder,needs_external_id_lookup,needs_external_id_lookup,{},{},Obsessive-compulsive disorder,1.0,eng,,Eating disorders | Electrophysiology | Neurobiology | Neuroimaging | Neuroplasticity | Precision psychiatry | Psilocybin | Psilocybin-assisted psychotherapy | Psychedelic research,,,,,,,
entity_unmapped,graph entity `mood disorders` did not match registry,psilocybin,,mood disorders,Psilocybin,,,,,,mood disorders,therapeutic_indication,mood disorders,indication,True,10.1186/s40337-024-01185-8,Exploring the neurobiological correlates of psilocybin-assisted psychotherapy in eating disorders: a review of potential methodologies and implications for the psychedelic study design.,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Koning E; Chaves C; Kirkpatrick RH; Brietzke E,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.8,False,"The incorporation of psilocybin may enhance the therapeutic mechanisms of standard psychotherapy, evidenced by several highquality systematic reviews and meta-analyses suggesting efficacy and safety of PAP for symptoms of depression, substance use disorders, obsessive-compulsive disorder, and mood disorders [20] [21] [22] [23] [24] .",secondary_summary,full_text_seen,text,C002,narrative review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=mentions; relationship is discussed in secondary literature, not treated as primary evidence",Journal of eating disorders,Journal Article | Review,2024-12-27,2050-2974,,,low,disorder,disorders,label,,psilocybin,mood disorders,needs_external_id_lookup,,{},{},Opioid use disorder,0.7273,eng,,Eating disorders | Electrophysiology | Neurobiology | Neuroimaging | Neuroplasticity | Precision psychiatry | Psilocybin | Psilocybin-assisted psychotherapy | Psychedelic research,,,,,,,
compound_combo_not_graphable,compound is a broad class or multi-compound label; v1 graph uses specific compound nodes only,ketamine and esketamine,,treatment-resistant depression (TRD),,Treatment-resistant depression,,,,,treatment-resistant depression (TRD),therapeutic_indication,treatment-resistant depression (TRD),indication,True,10.1192/j.eurpsy.2026.10157,Is the antidepressant efficacy of ketamine and esketamine mediated via opioid mechanisms?,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Andy Lu; Heidi Xu; Gia Han Le; Christine E. Dri; Sabrina Wong; Roger Ho; Bing Cao; Heidi Ka Ying Lo; Taeho Greg Rhee; Liyang Yin,2026,systematic_review,doi,systematic_review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,Ketamine and esketamine produce rapid and sustained antidepressant effects in persons with treatment-resistant depression (TRD).,secondary_summary,full_text_seen,abstract,C001,systematic review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence",European Psychiatry,journal-article,2026-01-01,0924-9338,1778-3585,Royal College of Psychiatrists,low,disorder,disorders,,label,ketamine and esketamine,treatment-resistant depression (TRD),,needs_external_id_lookup,{},{},Treatment-resistant depression,1.0,eng,"Ketamine / pharmacology | Ketamine / therapeutic use | Humans | Antidepressive Agents / pharmacology | Depressive Disorder, Treatment-Resistant / drug therapy | Animals | Receptors, Opioid / drug effects | Receptors, Opioid / genetics",depressive disorder | esketamine | ketamine | major | opioid | receptors | treatment-resistant,,,,,,,
entity_unmapped,graph entity `opioid system's mediating effect in TRD` did not match registry,ketamine,,opioid system's mediating effect in TRD,Ketamine,,,,,,opioid system's mediating effect in TRD,therapeutic_indication,opioid system's mediating effect in TRD,indication,True,10.1192/j.eurpsy.2026.10157,Is the antidepressant efficacy of ketamine and esketamine mediated via opioid mechanisms?,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Andy Lu; Heidi Xu; Gia Han Le; Christine E. Dri; Sabrina Wong; Roger Ho; Bing Cao; Heidi Ka Ying Lo; Taeho Greg Rhee; Liyang Yin,2026,systematic_review,doi,systematic_review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"The reported mixed findings suggest that the opioid system may exert a partial mediating effect of ketamine in TRD. However, given the inconsistent attenuation of ketamine's antidepressant effects by opioid receptor antagonists, the opioid system likely functions as a context-dependent modulator rather than a primary mediator, particularly at standard antidepressant doses.",secondary_summary,full_text_seen,abstract,C001,systematic review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=summarizes; relationship is discussed in secondary literature, not treated as primary evidence",European Psychiatry,journal-article,2026-01-01,0924-9338,1778-3585,Royal College of Psychiatrists,low,disorder,disorders,label,,ketamine,opioid system's mediating effect in TRD,needs_external_id_lookup,,{},{},Opioid use disorder,0.4828,eng,"Ketamine / pharmacology | Ketamine / therapeutic use | Humans | Antidepressive Agents / pharmacology | Depressive Disorder, Treatment-Resistant / drug therapy | Animals | Receptors, Opioid / drug effects | Receptors, Opioid / genetics",depressive disorder | esketamine | ketamine | major | opioid | receptors | treatment-resistant,,,,,,,
entity_unmapped,graph entity `attenuation of antidepressant effects by naltrexone` did not match registry,ketamine,,attenuation of antidepressant effects by naltrexone,Ketamine,,,,,,attenuation of antidepressant effects by naltrexone,therapeutic_indication,attenuation of antidepressant effects by naltrexone,indication,True,10.1192/j.eurpsy.2026.10157,Is the antidepressant efficacy of ketamine and esketamine mediated via opioid mechanisms?,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Andy Lu; Heidi Xu; Gia Han Le; Christine E. Dri; Sabrina Wong; Roger Ho; Bing Cao; Heidi Ka Ying Lo; Taeho Greg Rhee; Liyang Yin,2026,systematic_review,doi,systematic_review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"Naltrexone (nonselective opioid antagonist) attenuated ketamine's effects in three studies, while four reported no such effect and one reported mixed evidence.",secondary_summary,full_text_seen,abstract,C001,systematic review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=summarizes; relationship is discussed in secondary literature, not treated as primary evidence",European Psychiatry,journal-article,2026-01-01,0924-9338,1778-3585,Royal College of Psychiatrists,low,disorder,disorders,label,,ketamine,attenuation of antidepressant effects by naltrexone,needs_external_id_lookup,,{},{},Treatment-resistant depression,0.4444,eng,"Ketamine / pharmacology | Ketamine / therapeutic use | Humans | Antidepressive Agents / pharmacology | Depressive Disorder, Treatment-Resistant / drug therapy | Animals | Receptors, Opioid / drug effects | Receptors, Opioid / genetics",depressive disorder | esketamine | ketamine | major | opioid | receptors | treatment-resistant,,,,,,,
entity_unmapped,graph entity `association between opioid use and ketamine response` did not match registry,ketamine,,association between opioid use and ketamine response,Ketamine,,,,,,association between opioid use and ketamine response,therapeutic_indication,association between opioid use and ketamine response,indication,True,10.1192/j.eurpsy.2026.10157,Is the antidepressant efficacy of ketamine and esketamine mediated via opioid mechanisms?,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Andy Lu; Heidi Xu; Gia Han Le; Christine E. Dri; Sabrina Wong; Roger Ho; Bing Cao; Heidi Ka Ying Lo; Taeho Greg Rhee; Liyang Yin,2026,systematic_review,doi,systematic_review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"Separately, opioid use was not associated with ketamine response.",secondary_summary,full_text_seen,abstract,C001,systematic review,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=summarizes; relationship is discussed in secondary literature, not treated as primary evidence",European Psychiatry,journal-article,2026-01-01,0924-9338,1778-3585,Royal College of Psychiatrists,low,disorder,disorders,label,,ketamine,association between opioid use and ketamine response,needs_external_id_lookup,,{},{},anxiety associated with life-threatening disease,0.44,eng,"Ketamine / pharmacology | Ketamine / therapeutic use | Humans | Antidepressive Agents / pharmacology | Depressive Disorder, Treatment-Resistant / drug therapy | Animals | Receptors, Opioid / drug effects | Receptors, Opioid / genetics",depressive disorder | esketamine | ketamine | major | opioid | receptors | treatment-resistant,,,,,,,
normalized,compound and graph entity matched local registry,esketamine,,treatment-resistant depression,S-ketamine,Treatment-resistant depression,,,,,treatment-resistant depression,therapeutic_indication,treatment-resistant depression,indication,True,10.2147/ndt.s486118,Esketamine Nasal Spray: Rapid Relief for TRD and Suicide Prevention-Mechanisms and Pharmacodynamics.,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Song H; Luo Y; Fang L,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"Esketamine nasal spray has emerged as a promising rapid-relief therapy for treatment-resistant depression (TRD) and suicide prevention. ... Clinical research indicates that esketamine effectively alleviates depressive symptoms and prevents suicidal behavior in TRD patients, demonstrating good safety and efficacy over extended periods.",secondary_summary,full_text_seen,abstract,Abstract,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychiatric disease and treatment,Journal Article | Review,2024-11-01,1176-6328,,,low,disorder,disorders,alias,label,esketamine,treatment-resistant depression,needs_external_id_lookup,needs_external_id_lookup,{},{},Treatment-resistant depression,1.0,eng,,NMDA receptors | TRD | clinical benefits | esketamine | pharmacodynamics | safety and efficacy | treatment-resistant depression,,,,,,,
entity_unmapped,graph entity `suicidal behavior` did not match registry,esketamine,,suicidal behavior,S-ketamine,,,,,,suicidal behavior,therapeutic_indication,suicidal behavior,indication,True,10.2147/ndt.s486118,Esketamine Nasal Spray: Rapid Relief for TRD and Suicide Prevention-Mechanisms and Pharmacodynamics.,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Song H; Luo Y; Fang L,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"Esketamine nasal spray has emerged as a promising rapid-relief therapy for treatment-resistant depression (TRD) and suicide prevention. ... Clinical research indicates that esketamine effectively alleviates depressive symptoms and prevents suicidal behavior in TRD patients, demonstrating good safety and efficacy over extended periods.",secondary_summary,full_text_seen,abstract,Abstract,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychiatric disease and treatment,Journal Article | Review,2024-11-01,1176-6328,,,low,disorder,disorders,alias,,esketamine,suicidal behavior,needs_external_id_lookup,,{},{},Suicidal ideation,0.7647,eng,,NMDA receptors | TRD | clinical benefits | esketamine | pharmacodynamics | safety and efficacy | treatment-resistant depression,,,,,,,
normalized,compound and graph entity matched local registry,esketamine,,treatment-resistant depression,S-ketamine,Treatment-resistant depression,,,,,treatment-resistant depression,therapeutic_indication,treatment-resistant depression,indication,True,10.2147/ndt.s486118,Esketamine Nasal Spray: Rapid Relief for TRD and Suicide Prevention-Mechanisms and Pharmacodynamics.,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Song H; Luo Y; Fang L,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"In summary, esketamine has demonstrated rapid and significant anti-depression and anti-suicide effects in adult treatment-resistant depression (TRD) patients. When used over an extended period, it is safe, effective, and has low side effects, offering a novel option for the management of TRD in the future.",secondary_summary,full_text_seen,text,S020 - Summary and Prospect,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=summarizes; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychiatric disease and treatment,Journal Article | Review,2024-11-01,1176-6328,,,low,disorder,disorders,alias,label,esketamine,treatment-resistant depression,needs_external_id_lookup,needs_external_id_lookup,{},{},Treatment-resistant depression,1.0,eng,,NMDA receptors | TRD | clinical benefits | esketamine | pharmacodynamics | safety and efficacy | treatment-resistant depression,,,,,,,
entity_unmapped,graph entity `suicide prevention` did not match registry,esketamine,,suicide prevention,S-ketamine,,,,,,suicide prevention,therapeutic_indication,suicide prevention,indication,True,10.2147/ndt.s486118,Esketamine Nasal Spray: Rapid Relief for TRD and Suicide Prevention-Mechanisms and Pharmacodynamics.,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Song H; Luo Y; Fang L,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,1.0,False,"In summary, esketamine has demonstrated rapid and significant anti-depression and anti-suicide effects in adult treatment-resistant depression (TRD) patients.",secondary_summary,full_text_seen,text,S020 - Summary and Prospect,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=summarizes; relationship is discussed in secondary literature, not treated as primary evidence",Neuropsychiatric disease and treatment,Journal Article | Review,2024-11-01,1176-6328,,,low,disorder,disorders,alias,,esketamine,suicide prevention,needs_external_id_lookup,,{},{},Suicidal ideation,0.6286,eng,,NMDA receptors | TRD | clinical benefits | esketamine | pharmacodynamics | safety and efficacy | treatment-resistant depression,,,,,,,
